date,1. open,2. high,3. low,4. close,5. volume
2020-10-07 20:00:00,209.8,209.8,209.8,209.8,2416.0
2020-10-07 19:59:00,209.6201,209.8,209.6201,209.8,4641.0
2020-10-07 19:58:00,209.65,209.65,209.65,209.65,292.0
2020-10-07 19:56:00,209.8,209.8,209.8,209.8,400.0
2020-10-07 19:52:00,209.8,209.8,209.8,209.8,389.0
2020-10-07 19:50:00,209.78,209.83,209.78,209.83,759.0
2020-10-07 19:48:00,209.7,209.73,209.7,209.7,736.0
2020-10-07 19:47:00,209.7,209.7,209.69,209.7,1078.0
2020-10-07 19:45:00,209.69,209.69,209.69,209.69,505.0
2020-10-07 19:42:00,209.69,209.69,209.69,209.69,500.0
2020-10-07 19:41:00,209.69,209.7,209.69,209.69,1511.0
2020-10-07 19:39:00,209.7,209.7,209.7,209.7,500.0
2020-10-07 19:38:00,209.69,209.7,209.69,209.7,1000.0
2020-10-07 19:37:00,209.65,209.75,209.65,209.69,2792.0
2020-10-07 19:36:00,209.5,209.65,209.5,209.65,570.0
2020-10-07 19:31:00,209.39,209.39,209.25,209.25,676.0
2020-10-07 19:28:00,209.36,209.47,209.36,209.4,792.0
2020-10-07 19:27:00,209.47,209.47,209.47,209.47,301.0
2020-10-07 19:26:00,209.58,209.58,209.58,209.58,240.0
2020-10-07 19:24:00,209.58,209.58,209.55,209.55,893.0
2020-10-07 19:15:00,209.47,209.47,209.47,209.47,488.0
2020-10-07 19:10:00,209.47,209.47,209.47,209.47,101.0
2020-10-07 18:52:00,209.7,209.7,209.7,209.7,1000.0
2020-10-07 18:50:00,209.68,209.68,209.67,209.68,1100.0
2020-10-07 18:49:00,209.66,209.66,209.66,209.66,605.0
2020-10-07 18:47:00,209.52,209.52,209.3301,209.52,1174.0
2020-10-07 18:41:00,209.7,209.7,209.7,209.7,151.0
2020-10-07 18:40:00,209.7,209.7,209.7,209.7,101.0
2020-10-07 18:33:00,209.7,209.7,209.7,209.7,473.0
2020-10-07 18:26:00,209.74,209.74,209.74,209.74,114.0
2020-10-07 18:23:00,209.7,209.7,209.7,209.7,401.0
2020-10-07 18:22:00,209.7,209.7,209.7,209.7,341.0
2020-10-07 18:19:00,209.5101,209.5101,209.5101,209.5101,400.0
2020-10-07 18:18:00,209.69,209.69,209.6,209.6,610.0
2020-10-07 18:17:00,209.65,209.65,209.65,209.65,662.0
2020-10-07 18:16:00,209.57,209.69,209.57,209.69,1901.0
2020-10-07 18:15:00,209.47,209.57,209.47,209.57,1140.0
2020-10-07 18:13:00,209.48,209.48,209.47,209.47,281.0
2020-10-07 18:11:00,209.47,209.55,209.46,209.46,1055.0
2020-10-07 18:10:00,209.47,209.47,209.47,209.47,100.0
2020-10-07 18:09:00,209.45,209.45,209.45,209.45,220.0
2020-10-07 18:06:00,209.43,209.43,209.43,209.43,146.0
2020-10-07 18:04:00,209.3,209.3,209.3,209.3,100.0
2020-10-07 18:01:00,209.45,209.45,209.2,209.2,4077.0
2020-10-07 18:00:00,209.45,209.45,209.45,209.45,221.0
2020-10-07 17:43:00,209.42,209.42,209.42,209.42,770.0
2020-10-07 17:39:00,209.46,209.46,209.46,209.46,202.0
2020-10-07 17:38:00,209.42,209.42,209.42,209.42,543.0
2020-10-07 17:35:00,209.42,209.42,209.42,209.42,168.0
2020-10-07 17:33:00,209.42,209.42,209.42,209.42,223.0
2020-10-07 17:32:00,209.46,209.46,209.46,209.46,148.0
2020-10-07 17:30:00,209.42,209.42,209.42,209.42,784.0
2020-10-07 17:29:00,209.4,209.4,209.4,209.4,558.0
2020-10-07 17:25:00,209.39,209.39,209.39,209.39,327.0
2020-10-07 17:24:00,209.39,209.39,209.39,209.39,623.0
2020-10-07 17:23:00,209.4,209.4,209.4,209.4,171.0
2020-10-07 17:16:00,209.44,209.44,209.44,209.44,634.0
2020-10-07 17:06:00,209.4,209.4,209.4,209.4,655.0
2020-10-07 16:56:00,209.35,209.35,209.35,209.35,2049.0
2020-10-07 16:55:00,209.4,209.4,209.4,209.4,636.0
2020-10-07 16:53:00,209.48,209.48,209.48,209.48,141.0
2020-10-07 16:51:00,209.38,209.43,209.38,209.43,1079.0
2020-10-07 16:49:00,209.43,209.43,209.43,209.43,296.0
2020-10-07 16:48:00,209.41,209.41,209.41,209.41,1829.0
2020-10-07 16:46:00,209.35,209.35,209.35,209.35,195.0
2020-10-07 16:45:00,209.43,209.43,209.43,209.43,286.0
2020-10-07 16:44:00,209.37,209.37,209.37,209.37,580.0
2020-10-07 16:43:00,209.5,209.5,209.4,209.4,4727.0
2020-10-07 16:42:00,209.83,209.83,209.83,209.83,56118.0
2020-10-07 16:39:00,209.63,209.63,209.63,209.63,158.0
2020-10-07 16:38:00,209.5,209.83,209.5,209.5,55819.0
2020-10-07 16:34:00,209.55,209.67,209.55,209.57,1329.0
2020-10-07 16:33:00,209.4,209.83,209.4,209.5,1990.0
2020-10-07 16:32:00,209.4,209.4,209.4,209.4,151.0
2020-10-07 16:31:00,209.3,209.43,209.3,209.43,19649.0
2020-10-07 16:29:00,209.35,209.35,209.35,209.35,616.0
2020-10-07 16:28:00,209.35,209.35,209.34,209.34,837.0
2020-10-07 16:27:00,209.37,209.37,209.37,209.37,244.0
2020-10-07 16:25:00,209.42,209.46,209.42,209.46,1470.0
2020-10-07 16:24:00,209.43,209.43,209.43,209.43,660.0
2020-10-07 16:22:00,209.42,209.42,209.42,209.42,492.0
2020-10-07 16:19:00,209.37,209.37,209.37,209.37,463.0
2020-10-07 16:17:00,209.35,209.45,209.35,209.37,757.0
2020-10-07 16:15:00,209.31,209.83,209.19,209.26,6239.0
2020-10-07 16:14:00,209.49,209.49,209.26,209.26,2641.0
2020-10-07 16:13:00,209.53,209.53,209.48,209.53,1574.0
2020-10-07 16:12:00,209.809,209.809,209.809,209.809,38613.0
2020-10-07 16:10:00,209.83,209.83,209.83,209.83,599.0
2020-10-07 16:08:00,209.63,209.63,209.63,209.63,740.0
2020-10-07 16:07:00,209.63,209.63,209.63,209.63,190.0
2020-10-07 16:06:00,209.7,209.7,209.7,209.7,145036.0
2020-10-07 16:05:00,209.7,209.7,209.7,209.7,2273.0
2020-10-07 16:04:00,209.63,209.6302,209.63,209.6302,3660.0
2020-10-07 16:03:00,209.56,209.63,209.21,209.63,15524.0
2020-10-07 16:02:00,209.6,209.63,209.6,209.61,21175.0
2020-10-07 16:01:00,209.79,209.83,209.42,209.6,2266254.0
2020-10-07 16:00:00,209.83,210.0,209.37,209.81,885823.0
2020-10-07 15:59:00,209.89,209.94,209.69,209.82,334571.0
2020-10-07 15:58:00,209.895,209.95,209.81,209.88,225866.0
2020-10-07 15:57:00,209.69,209.91,209.615,209.895,163814.0
2020-10-07 15:56:00,209.83,209.88,209.5,209.71,266777.0
2020-10-07 15:55:00,209.63,209.88,209.55,209.84,187277.0
2020-10-07 15:54:00,209.57,209.66,209.44,209.615,113081.0
2020-10-07 15:53:00,209.49,209.59,209.465,209.57,92081.0
2020-10-07 15:52:00,209.34,209.535,209.335,209.485,77784.0
2020-10-07 15:51:00,209.5,209.75,209.32,209.33,137538.0
2020-10-07 15:50:00,209.27,209.445,209.23,209.44,61595.0
2020-10-07 15:49:00,209.33,209.33,209.13,209.27,74624.0
2020-10-07 15:48:00,209.42,209.42,209.29,209.325,63298.0
2020-10-07 15:47:00,209.37,209.46,209.3201,209.43,50235.0
2020-10-07 15:46:00,209.49,209.53,209.32,209.38,48326.0
2020-10-07 15:45:00,209.41,209.49,209.372,209.4782,43534.0
2020-10-07 15:44:00,209.51,209.58,209.4,209.42,53490.0
2020-10-07 15:43:00,209.53,209.535,209.445,209.5,42911.0
2020-10-07 15:42:00,209.505,209.56,209.48,209.53,43744.0
2020-10-07 15:41:00,209.43,209.55,209.39,209.51,64110.0
2020-10-07 15:40:00,209.38,209.45,209.32,209.44,33758.0
2020-10-07 15:39:00,209.41,209.455,209.3801,209.3913,57137.0
2020-10-07 15:38:00,209.35,209.41,209.26,209.385,60346.0
2020-10-07 15:37:00,209.35,209.43,209.34,209.34,49177.0
2020-10-07 15:36:00,209.33,209.41,209.33,209.3448,39858.0
2020-10-07 15:35:00,209.405,209.41,209.2803,209.33,40197.0
2020-10-07 15:34:00,209.305,209.44,209.3,209.405,44976.0
2020-10-07 15:33:00,209.6,209.61,209.26,209.3,52322.0
2020-10-07 15:32:00,209.605,209.62,209.55,209.58,39146.0
2020-10-07 15:31:00,209.56,209.67,209.51,209.6057,43353.0
2020-10-07 15:30:00,209.45,209.56,209.45,209.56,32588.0
2020-10-07 15:29:00,209.4701,209.49,209.33,209.43,48128.0
2020-10-07 15:28:00,209.6,209.6,209.47,209.47,55252.0
2020-10-07 15:27:00,209.635,209.7102,209.59,209.6,45761.0
2020-10-07 15:26:00,209.55,209.6479,209.54,209.63,49561.0
2020-10-07 15:25:00,209.56,209.57,209.4972,209.54,34996.0
2020-10-07 15:24:00,209.53,209.59,209.52,209.57,63237.0
2020-10-07 15:23:00,209.53,209.54,209.44,209.53,30867.0
2020-10-07 15:22:00,209.57,209.6,209.49,209.537,32574.0
2020-10-07 15:21:00,209.555,209.66,209.555,209.565,42397.0
2020-10-07 15:20:00,209.56,209.62,209.51,209.55,49430.0
2020-10-07 15:19:00,209.53,209.58,209.52,209.56,29095.0
2020-10-07 15:18:00,209.52,209.58,209.5,209.52,30493.0
2020-10-07 15:17:00,209.4,209.53,209.39,209.515,40351.0
2020-10-07 15:16:00,209.58,209.61,209.35,209.4,57950.0
2020-10-07 15:15:00,209.66,209.66,209.54,209.58,32210.0
2020-10-07 15:14:00,209.7018,209.71,209.65,209.655,22180.0
2020-10-07 15:13:00,209.6,209.72,209.5691,209.7,38803.0
2020-10-07 15:12:00,209.67,209.72,209.61,209.61,39740.0
2020-10-07 15:11:00,209.6,209.68,209.58,209.66,39872.0
2020-10-07 15:10:00,209.545,209.605,209.53,209.595,48377.0
2020-10-07 15:09:00,209.545,209.56,209.53,209.54,20114.0
2020-10-07 15:08:00,209.62,209.62,209.47,209.54,44851.0
2020-10-07 15:07:00,209.55,209.67,209.45,209.6098,86601.0
2020-10-07 15:06:00,209.61,209.69,209.52,209.56,49954.0
2020-10-07 15:05:00,209.58,209.6,209.51,209.6,34362.0
2020-10-07 15:04:00,209.61,209.63,209.53,209.6,40353.0
2020-10-07 15:03:00,209.675,209.6842,209.58,209.61,33549.0
2020-10-07 15:02:00,209.69,209.74,209.6301,209.69,26178.0
2020-10-07 15:01:00,209.74,209.785,209.64,209.69,36232.0
2020-10-07 15:00:00,209.825,209.87,209.73,209.74,29654.0
2020-10-07 14:59:00,209.835,209.8826,209.8121,209.82,25501.0
2020-10-07 14:58:00,209.88,209.89,209.835,209.85,25441.0
2020-10-07 14:57:00,209.88,209.9,209.865,209.89,42361.0
2020-10-07 14:56:00,209.86,209.89,209.84,209.88,21232.0
2020-10-07 14:55:00,209.845,209.87,209.81,209.86,26829.0
2020-10-07 14:54:00,209.79,209.88,209.79,209.85,39933.0
2020-10-07 14:53:00,209.75,209.81,209.7,209.7924,45818.0
2020-10-07 14:52:00,209.76,209.8,209.73,209.74,26848.0
2020-10-07 14:51:00,209.77,209.85,209.7201,209.76,33631.0
2020-10-07 14:50:00,209.789,209.82,209.76,209.77,28287.0
2020-10-07 14:49:00,209.7279,209.82,209.7,209.7714,44020.0
2020-10-07 14:48:00,209.65,209.7479,209.61,209.72,27829.0
2020-10-07 14:47:00,209.65,209.73,209.6187,209.64,25324.0
2020-10-07 14:46:00,209.64,209.71,209.62,209.64,31941.0
2020-10-07 14:45:00,209.65,209.6679,209.58,209.625,19537.0
2020-10-07 14:44:00,209.55,209.65,209.55,209.65,26537.0
2020-10-07 14:43:00,209.501,209.61,209.49,209.54,34733.0
2020-10-07 14:42:00,209.63,209.68,209.41,209.5001,67748.0
2020-10-07 14:41:00,209.75,209.77,209.6,209.6425,243772.0
2020-10-07 14:40:00,209.71,209.77,209.71,209.74,20927.0
2020-10-07 14:39:00,209.71,209.74,209.7,209.71,19154.0
2020-10-07 14:38:00,209.7,209.74,209.65,209.7101,33853.0
2020-10-07 14:37:00,209.7,209.7,209.62,209.69,32410.0
2020-10-07 14:36:00,209.83,209.85,209.64,209.69,50105.0
2020-10-07 14:35:00,209.905,209.905,209.79,209.83,28738.0
2020-10-07 14:34:00,209.9007,209.92,209.88,209.9,20582.0
2020-10-07 14:33:00,209.89,209.92,209.88,209.89,24852.0
2020-10-07 14:32:00,209.88,209.9235,209.88,209.895,20162.0
2020-10-07 14:31:00,209.8914,209.92,209.86,209.88,22701.0
2020-10-07 14:30:00,209.88,209.91,209.84,209.89,20255.0
2020-10-07 14:29:00,209.93,209.94,209.88,209.8945,27099.0
2020-10-07 14:28:00,209.9,209.965,209.8501,209.93,48679.0
2020-10-07 14:27:00,209.91,209.91,209.83,209.9,35890.0
2020-10-07 14:26:00,209.92,209.98,209.91,209.92,29392.0
2020-10-07 14:25:00,209.925,209.959,209.895,209.915,33081.0
